17,11,1.05
1,0,6,3
1,0,5,3
1,10,5,3
1,10,6,3
2,0,5,3
2,0,4,3
2,0,3,3
2,1,5,3
2,1,4,3
2,5,5,3
2,5,4,3
2,9,4,3
2,9,5,3
2,10,3,3
2,10,4,3
2,10,5,3
3,0,3,3
3,0,2,4
3,0,1,0
3,1,1,4
3,5,1,4
3,9,1,4
3,10,1,0
3,10,2,4
3,10,3,3
4,0,2,4
4,0,1,0
4,10,1,0
4,10,2,4
5,1,1,0
5,5,1,0
5,9,1,0
7,1,1,0
7,5,1,0
7,9,1,0
8,0,1,0
8,0,2,4
8,10,2,4
8,10,1,0
9,1,1,0
9,5,1,0
9,9,1,0
11,1,1,0
11,5,1,0
11,9,1,0
12,0,1,0
12,0,2,4
12,10,2,4
12,10,1,0
13,0,1,0
13,0,2,4
13,0,3,3
13,1,1,4
13,5,1,4
13,9,1,4
13,10,3,3
13,10,2,4
13,10,1,0
14,0,3,3
14,0,4,3
14,0,5,3
14,1,4,3
14,1,5,3
14,5,4,3
14,5,5,3
14,9,5,3
14,9,4,3
14,10,5,3
14,10,4,3
14,10,3,3
15,0,5,3
15,0,6,3
15,10,6,3
15,10,5,3
